id,title,year,rating,votes,length,genres
tt0278259,.com for Murder ,2002,2.6,1612,96,Horror|Thriller
tt1038988,Rec,2007,7.7,45363,78,Horror|Thriller
tt1245112,Rec 2 ,2009,6.6,13875,85,Horror|Thriller
tt0092086,Three Amigos! ,1986,6.1,24614,104,Adventure|Comedy|Western
tt0402022,Flux ,2005,5.4,41163,93,Action|Adventure|Sci-Fi
tt0186730,ca commence aujourd'hui ,1999,7.4,1498,117,Drama
tt0259822,0.45,2006,5.5,4865,101,Crime|Drama|Thriller
tt0472582,02:37,2006,6.8,3584,95,Drama
tt0078721,10,1979,5.9,7157,122,Comedy|Romance
tt0499603,10 Items or Less ,2006,6.7,7868,82,Comedy|Drama|Romance
tt0066730,10 Rillington Place ,1971,7.5,2489,111,Biography|Crime|Drama|Thriller
tt0147800,10 Things I Hate About You ,1999,6.9,72264,97,Comedy|Romance
tt0085121,10 to Midnight ,1983,5.8,2059,101,Action|Drama|Thriller
tt0443649,"10,000 BC ",2008,4.9,53002,109,Adventure|Fantasy
tt0899128,100 Feet ,2008,5.6,4297,96,Horror|Thriller
tt0214388,100 Girls ,2000,5.8,11525,94,Comedy|Romance
tt0115433,101 Dalmatians ,1996,5.4,22849,103,Family|Comedy|Adventure
tt0237993,101 Reykjav\xedk ,2000,6.9,5497,88,Comedy|Romance
tt0211181,102 Dalmatians ,2000,4.4,8321,100,Comedy|Family
tt0360323,10th & Wolf ,2006,6.3,3983,107,Crime|Drama|Mystery|Thriller
tt0331811,11:14,2003,7.3,20561,86,Comedy|Crime
tt0488478,12,2007,7.6,6688,159,Crime|Drama|Thriller|War
tt0050083,12 Angry Men ,1957,8.9,148155,96,Drama|Mystery
tt1160368,12 Rounds ,2009,5.4,10801,108,Action|Crime|Thriller
tt0809407,12:08 East of Bucharest ,2006,7.2,3358,89,Comedy|Drama|Music
tt1166085,120,2008,6.8,1531,114,Drama|History|War
tt1542344,127 Hours ,2010,7.9,79001,94,Adventure|Drama|Thriller
tt0798817,13,2010,6.3,10216,97,Drama|Thriller
tt1436045,13 Assassins ,2010,7.8,6832,141,Action|Adventure|Drama
tt0053559,13 Ghosts ,1960,5.9,1966,85,Horror
tt0337563,13 Going on 30 ,2004,6,37882,98,Comedy|Fantasy|Romance
tt0475169,13 Tzameti ,2005,7.4,8598,93,Crime|Drama|Thriller
tt0883995,13: Game of Death ,2006,6.8,1936,114,Comedy|Crime|Drama|Horror|Mystery|Thriller
tt1442571,14 Blades ,2010,6.4,2086,114,Action|Drama|History|Thriller
tt0450385,1408,2007,6.9,84811,104,Horror|Thriller
tt0103594,1492: Conquest of Paradise ,1992,6.3,11377,154,Adventure|Biography|Drama|History
tt0179626,15 Minutes ,2001,6.1,27582,120,Action|Crime|Drama|Thriller
tt0450232,16 Blocks ,2006,6.7,46367,105,Action|Crime|Drama|Thriller
